filepath,label
../Dataset_Of_animal_Images/Goat/train/images/Goat (296).jpg,4
../Dataset_Of_animal_Images/Cat/train/images/Cat (1159).jpg,0
../Dataset_Of_animal_Images/Deer/train/images/Deer (1361).jpg,2
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (1291).jpg,7
../Dataset_Of_animal_Images/Dog/train/images/Dog (643).jpg,3
../Dataset_Of_animal_Images/Deer/train/images/Deer (239).jpg,2
../Dataset_Of_animal_Images/Deer/train/images/Deer (176).jpg,2
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (499).jpg,6
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (935).jpg,6
../Dataset_Of_animal_Images/Goat/train/images/Goat (355).jpg,4
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (2115).jpg,6
../Dataset_Of_animal_Images/Cat/train/images/Cat (1772).jpg,0
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (2055).jpg,6
../Dataset_Of_animal_Images/Cat/train/images/Cat (1088).jpg,0
../Dataset_Of_animal_Images/Deer/train/images/Deer (2133).jpg,2
../Dataset_Of_animal_Images/Cat/train/images/Cat (2031).jpg,0
../Dataset_Of_animal_Images/Cow/train/images/Cow (840).jpg,1
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (556).jpg,7
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (536).jpg,7
../Dataset_Of_animal_Images/Cat/train/images/Cat (1633).jpg,0
../Dataset_Of_animal_Images/Cat/train/images/Cat (1645).jpg,0
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (173).jpg,7
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (829).jpg,6
../Dataset_Of_animal_Images/Deer/train/images/Deer (56).jpg,2
../Dataset_Of_animal_Images/Hen/train/images/HEN (939).jpg,5
../Dataset_Of_animal_Images/Goat/train/images/Goat (834).jpg,4
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (1421).jpg,6
../Dataset_Of_animal_Images/Dog/train/images/Dog (2322).jpg,3
../Dataset_Of_animal_Images/Hen/train/images/HEN (198).jpg,5
../Dataset_Of_animal_Images/Hen/train/images/HEN (125).jpg,5
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (801).jpg,6
../Dataset_Of_animal_Images/Cat/train/images/Cat (1257).jpg,0
../Dataset_Of_animal_Images/Hen/train/images/HEN (1523).jpg,5
../Dataset_Of_animal_Images/Dog/train/images/Dog (1838).jpg,3
../Dataset_Of_animal_Images/Cat/train/images/Cat (847).jpg,0
../Dataset_Of_animal_Images/Cat/train/images/Cat (981).jpg,0
../Dataset_Of_animal_Images/Deer/train/images/Deer (142).jpg,2
../Dataset_Of_animal_Images/Dog/train/images/Dog (2134).jpg,3
../Dataset_Of_animal_Images/Cat/train/images/Cat (2203).jpg,0
../Dataset_Of_animal_Images/Hen/train/images/HEN (539).jpg,5
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (523).jpg,6
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (2072).jpg,6
../Dataset_Of_animal_Images/Cow/train/images/Cow (492).jpg,1
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (800).jpg,7
../Dataset_Of_animal_Images/Cow/train/images/Cow (496).jpg,1
../Dataset_Of_animal_Images/Goat/train/images/Goat (843).jpg,4
../Dataset_Of_animal_Images/Deer/train/images/Deer (1870).jpg,2
../Dataset_Of_animal_Images/Cow/train/images/Cow (100).jpg,1
../Dataset_Of_animal_Images/Dog/train/images/Dog (2294).jpg,3
../Dataset_Of_animal_Images/Hen/train/images/HEN (1086).jpg,5
../Dataset_Of_animal_Images/Cat/train/images/Cat (1846).jpg,0
../Dataset_Of_animal_Images/Cow/train/images/Cow (518).jpg,1
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (1595).jpg,6
../Dataset_Of_animal_Images/Cat/train/images/Cat (256).jpg,0
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (1419).jpg,6
../Dataset_Of_animal_Images/Goat/train/images/Goat (141).jpg,4
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (106).jpg,7
../Dataset_Of_animal_Images/Deer/train/images/Deer (2417).jpg,2
../Dataset_Of_animal_Images/Hen/train/images/HEN (172).jpg,5
../Dataset_Of_animal_Images/Dog/train/images/Dog (1379).jpg,3
../Dataset_Of_animal_Images/Cat/train/images/Cat (1380).jpg,0
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (915).jpg,6
../Dataset_Of_animal_Images/Cat/train/images/Cat (207).jpg,0
../Dataset_Of_animal_Images/Cow/train/images/Cow (70).jpg,1
../Dataset_Of_animal_Images/Cat/train/images/Cat (2384).jpg,0
../Dataset_Of_animal_Images/Hen/train/images/HEN (179).jpg,5
../Dataset_Of_animal_Images/Cat/train/images/Cat (2710).jpg,0
../Dataset_Of_animal_Images/Dog/train/images/Dog (1468).jpg,3
../Dataset_Of_animal_Images/Deer/train/images/Deer (2559).jpg,2
../Dataset_Of_animal_Images/Deer/train/images/Deer (1401).jpg,2
../Dataset_Of_animal_Images/Cow/train/images/Cow (331).jpg,1
../Dataset_Of_animal_Images/Deer/train/images/Deer (3669).jpg,2
../Dataset_Of_animal_Images/Deer/train/images/Deer (2125).jpg,2
../Dataset_Of_animal_Images/Cow/train/images/Cow (392).jpg,1
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (480).jpg,6
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (1212).jpg,6
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (617).jpg,6
../Dataset_Of_animal_Images/Dog/train/images/Dog (1579).jpg,3
